"filename", "language", "JavaScript", "Markdown", "Pug", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\Owner\Desktop\socialClone\App.js", "JavaScript", 34, 0, 0, 0, 0, 4, 16, 54
"c:\Users\Owner\Desktop\socialClone\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\Owner\Desktop\socialClone\database.js", "JavaScript", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Owner\Desktop\socialClone\middleware.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Owner\Desktop\socialClone\package-lock.json", "JSON", 0, 0, 0, 1394, 0, 0, 1, 1395
"c:\Users\Owner\Desktop\socialClone\package.json", "JSON", 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\Owner\Desktop\socialClone\public\css\login.css", "CSS", 0, 0, 0, 0, 111, 0, 25, 136
"c:\Users\Owner\Desktop\socialClone\public\css\main.css", "CSS", 0, 0, 0, 0, 212, 0, 42, 254
"c:\Users\Owner\Desktop\socialClone\public\js\common.js", "JavaScript", 163, 0, 0, 0, 0, 1, 51, 215
"c:\Users\Owner\Desktop\socialClone\public\js\home.js", "JavaScript", 15, 0, 0, 0, 0, 0, 10, 25
"c:\Users\Owner\Desktop\socialClone\routes\api\posts.js", "JavaScript", 87, 0, 0, 0, 0, 16, 27, 130
"c:\Users\Owner\Desktop\socialClone\routes\loginRoutes.js", "JavaScript", 42, 0, 0, 0, 0, 0, 13, 55
"c:\Users\Owner\Desktop\socialClone\routes\logout.js", "JavaScript", 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Owner\Desktop\socialClone\routes\registerRoutes.js", "JavaScript", 59, 0, 0, 0, 0, 0, 17, 76
"c:\Users\Owner\Desktop\socialClone\schemas\postSchema.js", "JavaScript", 27, 0, 0, 0, 0, 0, 14, 41
"c:\Users\Owner\Desktop\socialClone\schemas\userSchema.js", "JavaScript", 44, 0, 0, 0, 0, 0, 11, 55
"c:\Users\Owner\Desktop\socialClone\views\home.pug", "Pug", 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Owner\Desktop\socialClone\views\layouts\login-layout.pug", "Pug", 0, 0, 14, 0, 0, 0, 6, 20
"c:\Users\Owner\Desktop\socialClone\views\layouts\main-layout.pug", "Pug", 0, 0, 40, 0, 0, 0, 8, 48
"c:\Users\Owner\Desktop\socialClone\views\login.pug", "Pug", 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\Owner\Desktop\socialClone\views\mixins\mixins.pug", "Pug", 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\Owner\Desktop\socialClone\views\register.pug", "Pug", 0, 0, 54, 0, 0, 0, 15, 69
"Total", "-", 512, 1, 145, 1418, 323, 21, 278, 2698
